Iteration[0]: x = [-2.749986, -3.129485] y = 38367.658631
Iteration[1]: x = [-1.611967, -3.594301] y = 8685.186992
Iteration[2]: x = [-0.471634, -2.703354] y = 6622.016478
Iteration[3]: x = [-0.074679, -2.409720] y = 165.184856
Iteration[4]: x = [0.055015, -2.320765] y = 20.677049
Iteration[5]: x = [0.097694, -2.294301] y = 11.484998
Iteration[6]: x = [0.112525, -2.286561] y = 10.314249
Iteration[7]: x = [0.118436, -2.284396] y = 10.069731
Iteration[8]: x = [0.121448, -2.283881] y = 9.993075
Iteration[9]: x = [0.123475, -2.283849] y = 9.958159
Iteration[10]: x = [0.125128, -2.283952] y = 9.936228
Iteration[11]: x = [0.126603, -2.284088] y = 9.919396
Iteration[12]: x = [0.127966, -2.284226] y = 9.905243
Iteration[13]: x = [0.129242, -2.284358] y = 9.892923
Iteration[14]: x = [0.130441, -2.284482] y = 9.882066
Iteration[15]: x = [0.131570, -2.284597] y = 9.872459
Iteration[16]: x = [0.132633, -2.284704] y = 9.863947
Iteration[17]: x = [0.133634, -2.284801] y = 9.856402
Iteration[18]: x = [0.134576, -2.284891] y = 9.849714
Iteration[19]: x = [0.135464, -2.284973] y = 9.843785
Iteration[20]: x = [0.136300, -2.285047] y = 9.838530
Iteration[21]: x = [0.137087, -2.285115] y = 9.833871
Iteration[22]: x = [0.137828, -2.285175] y = 9.829742
Iteration[23]: x = [0.138527, -2.285229] y = 9.826082
Iteration[24]: x = [0.139184, -2.285277] y = 9.822838
Iteration[25]: x = [0.139804, -2.285319] y = 9.819962
Iteration[26]: x = [0.140387, -2.285356] y = 9.817412
Iteration[27]: x = [0.140937, -2.285387] y = 9.815152
Iteration[28]: x = [0.141454, -2.285413] y = 9.813148
Iteration[29]: x = [0.141942, -2.285434] y = 9.811372
Iteration[30]: x = [0.142401, -2.285451] y = 9.809796
Iteration[31]: x = [0.142834, -2.285464] y = 9.808398
Iteration[32]: x = [0.143242, -2.285472] y = 9.807158
Iteration[33]: x = [0.143626, -2.285477] y = 9.806057
Iteration[34]: x = [0.143988, -2.285478] y = 9.805080
Iteration[35]: x = [0.144329, -2.285475] y = 9.804212
Iteration[36]: x = [0.144651, -2.285470] y = 9.803441
Iteration[37]: x = [0.144954, -2.285461] y = 9.802756
Iteration[38]: x = [0.145239, -2.285449] y = 9.802147
Iteration[39]: x = [0.145509, -2.285435] y = 9.801605
Iteration[40]: x = [0.145763, -2.285418] y = 9.801123
Iteration[41]: x = [0.146002, -2.285398] y = 9.800693
Iteration[42]: x = [0.146228, -2.285376] y = 9.800310
Iteration[43]: x = [0.146442, -2.285352] y = 9.799968
Iteration[44]: x = [0.146643, -2.285326] y = 9.799662
Iteration[45]: x = [0.146833, -2.285298] y = 9.799389
Iteration[46]: x = [0.147012, -2.285268] y = 9.799144
Iteration[47]: x = [0.147181, -2.285237] y = 9.798924
Iteration[48]: x = [0.147341, -2.285204] y = 9.798727
Iteration[49]: x = [0.147492, -2.285169] y = 9.798550
Iteration[50]: x = [0.147634, -2.285133] y = 9.798390
